-1 | 4 | -1 | #SUP: 3002
-1 | 5 | -1 | #SUP: 2994
-1 | 5 | 12 | #SUP: 1033
-1 | 6 | -1 | #SUP: 3631
-1 | 6 | 41 | #SUP: 1153
-1 | 8 | -1 | #SUP: 2730
-1 | 9 | -1 | #SUP: 2972
-1 | 9 | 12 | #SUP: 1015
-1 | 10 | -1 | #SUP: 2674
-1 | 11 | -1 | #SUP: 3068
-1 | 12 | -1 | #SUP: 3458
-1 | 13 | -1 | #SUP: 2935
-1 | 14 | -1 | #SUP: 3168
-1 | 17 | -1 | #SUP: 3254
-1 | 18 | -1 | #SUP: 3007
-1 | 19 | -1 | #SUP: 2747
-1 | 21 | -1 | #SUP: 2912
-1 | 22 | -1 | #SUP: 3467
-1 | 22 | 1 | #SUP: 1001
-1 | 22 | 14 | #SUP: 1187
-1 | 22 | 45 | #SUP: 1006
-1 | 23 | -1 | #SUP: 2882
-1 | 24 | -1 | #SUP: 3031
-1 | 24 | 41 | #SUP: 1072
-1 | 25 | -1 | #SUP: 3543
-1 | 26 | -1 | #SUP: 2997
-1 | 26 | 12 | #SUP: 1053
-1 | 27 | -1 | #SUP: 3261
-1 | 28 | -1 | #SUP: 3208
-1 | 28 | 41 | #SUP: 1027
-1 | 29 | -1 | #SUP: 3040
-1 | 30 | -1 | #SUP: 3124
-1 | 31 | -1 | #SUP: 2747
-1 | 33 | -1 | #SUP: 3443
-1 | 33 | 37 | #SUP: 1035
-1 | 34 | -1 | #SUP: 3362
-1 | 34 | 1 | #SUP: 1018
-1 | 34 | 12 | #SUP: 1134
-1 | 34 | 46 | #SUP: 1017
-1 | 37 | -1 | #SUP: 3441
-1 | 37 | 45 | #SUP: 1006
-1 | 38 | -1 | #SUP: 3127
-1 | 38 | 6 | #SUP: 1010
-1 | 39 | -1 | #SUP: 2908
-1 | 40 | -1 | #SUP: 3262
-1 | 40 | 41 | #SUP: 1420
-1 | 41 | -1 | #SUP: 3437
-1 | 41 | 22 | #SUP: 1043
-1 | 42 | -1 | #SUP: 3214
-1 | 42 | 12 | #SUP: 1041
-1 | 45 | -1 | #SUP: 3327
-1 | 46 | -1 | #SUP: 3000
-1 | 47 | -1 | #SUP: 2987
-1 | 48 | -1 | #SUP: 2970
0 | -1 | -1 | #SUP: 2962
1 | -1 | -1 | #SUP: 3033
1 | -1 | 33 | #SUP: 1072
1 | 33 | -1 | #SUP: 1022
2 | -1 | -1 | #SUP: 3315
2 | -1 | 14 | #SUP: 1116
4 | -1 | -1 | #SUP: 2964
5 | -1 | -1 | #SUP: 2971
6 | -1 | -1 | #SUP: 3609
6 | -1 | 41 | #SUP: 1137
8 | -1 | -1 | #SUP: 2668
9 | -1 | -1 | #SUP: 2966
9 | -1 | 12 | #SUP: 1029
10 | -1 | -1 | #SUP: 2598
11 | -1 | -1 | #SUP: 3045
12 | -1 | -1 | #SUP: 3366
13 | -1 | -1 | #SUP: 2897
14 | -1 | -1 | #SUP: 3114
17 | -1 | -1 | #SUP: 3201
18 | -1 | -1 | #SUP: 2950
19 | -1 | -1 | #SUP: 2693
21 | -1 | -1 | #SUP: 2887
22 | -1 | -1 | #SUP: 3428
22 | -1 | 14 | #SUP: 1169
23 | -1 | -1 | #SUP: 2819
24 | -1 | -1 | #SUP: 3081
24 | -1 | 41 | #SUP: 1000
25 | -1 | -1 | #SUP: 3462
26 | -1 | -1 | #SUP: 2983
27 | -1 | -1 | #SUP: 3233
28 | -1 | -1 | #SUP: 3112
29 | -1 | -1 | #SUP: 2975
30 | -1 | -1 | #SUP: 3110
31 | -1 | -1 | #SUP: 2721
33 | -1 | -1 | #SUP: 3362
34 | -1 | -1 | #SUP: 3362
34 | -1 | 12 | #SUP: 1115
37 | -1 | -1 | #SUP: 3352
38 | -1 | -1 | #SUP: 3125
39 | -1 | -1 | #SUP: 2887
40 | -1 | -1 | #SUP: 3203
40 | -1 | 41 | #SUP: 1245
41 | -1 | -1 | #SUP: 3362
42 | -1 | -1 | #SUP: 3159
42 | -1 | 12 | #SUP: 1010
45 | -1 | -1 | #SUP: 3274
46 | -1 | -1 | #SUP: 2931
47 | -1 | -1 | #SUP: 2957
48 | -1 | -1 | #SUP: 2946
-1 | -1 | -1 | -1 | #SUP: 10000
-1 | -1 | -1 | 0 | #SUP: 2951
-1 | -1 | -1 | 1 | #SUP: 3090
-1 | -1 | -1 | 2 | #SUP: 3164
-1 | -1 | -1 | 4 | #SUP: 2970
-1 | -1 | -1 | 5 | #SUP: 2908
-1 | -1 | -1 | 6 | #SUP: 3569
-1 | -1 | -1 | 8 | #SUP: 2835
-1 | -1 | -1 | 9 | #SUP: 2853
-1 | -1 | -1 | 10 | #SUP: 2772
-1 | -1 | -1 | 11 | #SUP: 2951
-1 | -1 | -1 | 12 | #SUP: 3596
-1 | -1 | -1 | 13 | #SUP: 2856
-1 | -1 | -1 | 14 | #SUP: 3268
-1 | -1 | -1 | 17 | #SUP: 3283
-1 | -1 | -1 | 18 | #SUP: 2994
-1 | -1 | -1 | 19 | #SUP: 2747
-1 | -1 | -1 | 21 | #SUP: 2883
-1 | -1 | -1 | 22 | #SUP: 3577
-1 | -1 | -1 | 23 | #SUP: 3043
-1 | -1 | -1 | 24 | #SUP: 2997
-1 | -1 | -1 | 25 | #SUP: 3586
-1 | -1 | -1 | 26 | #SUP: 2825
-1 | -1 | -1 | 27 | #SUP: 3163
-1 | -1 | -1 | 28 | #SUP: 3324
-1 | -1 | -1 | 29 | #SUP: 3027
-1 | -1 | -1 | 30 | #SUP: 3101
-1 | -1 | -1 | 31 | #SUP: 2677
-1 | -1 | -1 | 33 | #SUP: 3397
-1 | -1 | -1 | 34 | #SUP: 3202
-1 | -1 | -1 | 37 | #SUP: 3468
-1 | -1 | -1 | 38 | #SUP: 3094
-1 | -1 | -1 | 39 | #SUP: 2846
-1 | -1 | -1 | 40 | #SUP: 3233
-1 | -1 | -1 | 41 | #SUP: 3670
-1 | -1 | -1 | 42 | #SUP: 3204
