#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

74	21.32		750000		3.09e-01  5.61e-01  6.85e-01  6.42e+00
75	21.58		760000		3.09e-01  5.49e-01  6.65e-01  6.31e+00
76	21.84		770000		3.09e-01  5.59e-01  6.89e-01  6.20e+00
77	22.9		780000		3.09e-01  5.59e-01  6.87e-01  7.13e+00
78	22.35		790000		3.09e-01  5.45e-01  6.81e-01  6.54e+00
79	22.60		800000		3.09e-01  5.45e-01  6.73e-01  6.89e+00
80	22.86		810000		3.08e-01  5.43e-01  6.88e-01  6.14e+00
81	23.11		820000		3.08e-01  5.30e-01  6.60e-01  6.41e+00
82	23.36		830000		3.08e-01  5.22e-01  6.50e-01  6.75e+00
83	23.61		840000		3.08e-01  5.16e-01  6.33e-01  7.29e+00
84	23.87		850000		3.08e-01  5.31e-01  6.69e-01  7.22e+00
85	24.12		860000		3.08e-01  5.21e-01  6.46e-01  6.47e+00
86	24.37		870000		3.08e-01  5.35e-01  6.89e-01  6.52e+00
87	24.62		880000		3.08e-01  5.30e-01  6.73e-01  6.45e+00
88	24.87		890000		3.08e-01  5.28e-01  6.73e-01  6.99e+00
89	25.12		900000		3.08e-01  5.26e-01  6.61e-01  6.18e+00
90	25.37		910000		3.08e-01  5.27e-01  6.57e-01  7.07e+00
91	25.62		920000		3.08e-01  5.29e-01  6.72e-01  6.37e+00
92	25.87		930000		3.08e-01  5.33e-01  6.95e-01  6.36e+00
93	26.12		940000		3.08e-01  5.07e-01  6.24e-01  6.70e+00
94	26.36		950000		3.08e-01  5.28e-01  6.76e-01  6.45e+00
95	26.61		960000		3.08e-01  5.22e-01  6.63e-01  7.66e+00
96	26.86		970000		3.08e-01  5.37e-01  6.96e-01  6.38e+00
97	27.11		980000		3.08e-01  5.39e-01  7.02e-01  6.56e+00
98	27.35		990000		3.08e-01  5.16e-01  6.51e-01  6.22e+00
99	27.60		1000000		3.08e-01  5.20e-01  6.54e-01  6.34e+00
